Row ID,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Price,Discount,Profit,Actual Return,Return_Reason,Return_Status,Return_Type,Refund_Amount,Order_Date,Return_Date,Return_Delay_Days,Return_Flag,Predicted_Return,Predicted_Return_Probabilty,Return_Risk,probabilty in %,Discount in % 
17,CA-2014-105893,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,110.98,0,13.3176,No,N/A,No,N/A,0,21-12-2023,0,0,0,0,0.45923566,Medium,45.92356602,0
18,CA-2014-167164,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,27.75,0,9.99,No,N/A,No,N/A,0,17-04-2023,0,0,0,1,0.494024369,Medium,49.40243691,0
19,CA-2014-143336,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,4.28,0,2.4824,No,N/A,No,N/A,0,12-10-2023,0,0,0,0,0.437562209,Medium,43.75622092,0
20,CA-2014-143336,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,71.16,0.2,16.011,No,N/A,No,N/A,0,26-07-2023,0,0,0,1,0.555610605,Medium,55.56106046,20
21,CA-2014-143336,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,5.68,0.2,7.384,Yes,Don't want to promote this item,Pending,Exchange,22.72,23-05-2023,04-06-2023,12,1,1,0.537800395,Medium,53.78003952,20
22,CA-2016-137330,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,2.78,0,5.0596,No,N/A,No,N/A,0,27-03-2023,0,0,0,0,0.434544339,Medium,43.4544339,0
23,CA-2016-137330,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,8.62,0,15.6884,No,N/A,No,N/A,0,13-08-2023,0,0,0,0,0.405520507,Medium,40.5520507,0
24,US-2017-156909,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,35.686,0.3,-1.0196,No,N/A,No,N/A,0,04-09-2023,0,0,0,0,0.422778887,Medium,42.2778887,30
25,CA-2015-106320,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,348.21,0,240.2649,No,N/A,No,N/A,0,24-07-2023,0,0,0,1,0.54279361,Medium,54.27936103,0
26,CA-2016-121755,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,5.824,0.2,4.2224,No,N/A,No,N/A,0,15-05-2023,0,0,0,0,0.425647456,Medium,42.56474564,20
27,CA-2016-121755,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,30.19,0,11.7741,No,N/A,No,N/A,0,18-11-2023,0,0,0,1,0.523832814,Medium,52.38328136,0
28,US-2015-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,440.49,0.5,-1665.0522,No,N/A,No,N/A,0,18-07-2023,0,0,0,0,0.394697447,Low,39.46974466,50
29,US-2015-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,4.809,0.7,-7.0532,No,N/A,No,N/A,0,28-07-2023,0,0,0,0,0.421684562,Medium,42.1684562,70
30,US-2015-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,41.4,0.2,15.525,Yes,Got in better price,Approved,Exchange,124.2,22-09-2023,26-09-2023,4,1,1,0.493916409,Medium,49.39164086,20
31,US-2015-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,1.632,0.2,1.1016,No,N/A,No,N/A,0,22-09-2023,0,0,0,0,0.40540403,Medium,40.54040299,20
32,US-2015-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,14.384,0.2,9.7092,No,N/A,No,N/A,0,11-11-2023,0,0,0,0,0.452716556,Medium,45.27165561,20
33,US-2015-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,1.143,0.7,-5.715,Yes,Expectation not fulfilled,Rejected,Refund Only,6.858,22-11-2023,26-11-2023,4,1,0,0.443840931,Medium,44.38409314,70
34,US-2015-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,7.88,0.2,3.546,No,N/A,No,N/A,0,15-04-2023,0,0,0,0,0.448048494,Medium,44.80484943,20
35,CA-2017-107727,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,9.824,0.2,9.9468,Yes,Changed mind,Approved,Refund Only,29.472,08-08-2023,11-08-2023,3,1,0,0.463917615,Medium,46.39176149,20
36,CA-2016-117590,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,156.792,0.2,123.4737,No,N/A,No,N/A,0,03-05-2023,0,0,0,0,0.327066176,Low,32.70661764,20
37,CA-2016-117590,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,38.184,0.6,-147.963,No,N/A,No,N/A,0,11-07-2023,0,0,0,0,0.395424701,Low,39.54247007,60
38,CA-2015-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,12.592,0.2,35.415,No,N/A,No,N/A,0,23-10-2023,0,0,0,0,0.384261323,Low,38.42613234,20
39,CA-2015-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,177.4664,0.32,-46.9764,No,N/A,No,N/A,0,05-11-2023,0,0,0,0,0.362562034,Low,36.25620344,32
40,CA-2015-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,70.686,0.3,-15.147,No,N/A,No,N/A,0,05-06-2023,0,0,0,0,0.397850734,Low,39.78507343,30
41,CA-2015-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,92.792,0.2,41.7564,No,N/A,No,N/A,0,12-03-2023,0,0,0,0,0.442624643,Medium,44.26246433,20
42,CA-2017-120999,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,36.792,0.2,16.5564,No,N/A,No,N/A,0,27-12-2023,0,0,0,0,0.464289706,Medium,46.4289706,20
43,CA-2016-101343,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,38.94,0,3.894,No,N/A,No,N/A,0,29-01-2023,0,0,0,0,0.426984173,Medium,42.69841727,0
44,CA-2017-139619,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,47.808,0.2,9.5616,No,N/A,No,N/A,0,26-05-2023,0,0,0,0,0.443612821,Medium,44.36128213,20
45,CA-2016-118255,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,22.99,0,19.7714,No,N/A,No,N/A,0,29-12-2023,0,0,0,0,0.363390437,Low,36.33904365,0
46,CA-2016-118255,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,8.73,0,8.2062,No,N/A,No,N/A,0,18-01-2023,0,0,0,0,0.372129774,Low,37.2129774,0
47,CA-2014-146703,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,52.99,0,8.4784,No,N/A,No,N/A,0,18-12-2023,0,0,0,1,0.490221331,Medium,49.02213305,0
48,CA-2016-169194,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,15,0,4.95,No,N/A,No,N/A,0,07-07-2023,0,0,0,0,0.46442787,Medium,46.44278701,0
49,CA-2016-169194,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,10.9,0,6.104,No,N/A,No,N/A,0,18-12-2023,0,0,0,0,0.412120996,Medium,41.21209964,0
50,CA-2015-115742,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,6.37,0,17.9634,Yes,Changed mind,Received,Exchange,38.22,07-07-2023,21-07-2023,14,1,0,0.454959678,Medium,45.49596782,0
51,CA-2015-115742,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,12.53,0,35.3346,No,N/A,No,N/A,0,15-04-2023,0,0,0,1,0.537054014,Medium,53.70540136,0
52,CA-2015-115742,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,3.08,0,2.9568,No,N/A,No,N/A,0,17-11-2023,0,0,0,0,0.358759488,Low,35.87594879,0
53,CA-2015-115742,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,89.99,0,17.0981,No,N/A,No,N/A,0,06-09-2023,0,0,0,0,0.268027797,Low,26.80277975,0
54,CA-2016-105816,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,2.18,0,6.2566,No,N/A,No,N/A,0,11-01-2023,0,0,0,0,0.399615009,Low,39.96150092,0
55,CA-2016-105816,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,205.99,0,298.6855,No,N/A,No,N/A,0,23-05-2023,0,0,0,0,0.430397763,Medium,43.03977632,0
56,CA-2016-111682,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,34.76,0,52.14,No,N/A,No,N/A,0,10-05-2023,0,0,0,0,0.478946863,Medium,47.89468631,0
57,CA-2016-111682,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,6.48,0,15.552,Yes,Expectation not fulfilled,Picked,Refund Only,32.4,25-08-2023,05-09-2023,11,1,1,0.495841979,Medium,49.58419788,0
58,CA-2016-111682,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,63.882,0.1,7.098,No,N/A,No,N/A,0,15-03-2023,0,0,0,1,0.600140604,Medium,60.01406043,10
59,CA-2016-111682,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,7.28,0,6.9888,No,N/A,No,N/A,0,21-09-2023,0,0,0,0,0.444305543,Medium,44.43055429,0
60,CA-2016-111682,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,15,0,3.3,No,N/A,No,N/A,0,15-12-2023,0,0,0,0,0.425393173,Medium,42.53931731,0
61,CA-2016-111682,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,12.12,0.2,16.362,No,N/A,No,N/A,0,12-05-2023,0,0,0,1,0.49966545,Medium,49.96654497,20
62,CA-2016-111682,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,1.68,0,0.84,No,N/A,No,N/A,0,24-08-2023,0,0,0,0,0.198805216,Low,19.88052164,0
63,CA-2015-135545,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,6.99,0,6.1512,No,N/A,No,N/A,0,20-09-2023,0,0,0,0,0.430815056,Medium,43.08150557,0
64,CA-2015-135545,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,4.304,0.2,9.3612,No,N/A,No,N/A,0,05-06-2023,0,0,0,0,0.455764362,Medium,45.57643617,20
65,CA-2015-135545,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,48.91,0,68.9631,No,N/A,No,N/A,0,19-12-2023,0,0,0,1,0.525614658,Medium,52.56146578,0
66,CA-2015-135545,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,19.94,0,22.3328,Yes,Expectation not fulfilled,Pending,Exchange,79.76,30-11-2023,02-12-2023,2,1,1,0.531914666,Medium,53.19146665,0
67,US-2015-164175,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,42.623,0.3,-15.2225,No,N/A,No,N/A,0,18-11-2023,0,0,0,0,0.404909537,Medium,40.49095375,30
68,CA-2014-106376,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,139.128,0.2,111.3024,No,N/A,No,N/A,0,05-01-2023,0,0,0,0,0.353167014,Low,35.31670138,20
69,CA-2014-106376,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,41.992,0.2,62.988,No,N/A,No,N/A,0,16-08-2023,0,0,0,1,0.560622703,Medium,56.06227029,20
70,CA-2016-119823,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,37.94,0,35.6636,No,N/A,No,N/A,0,06-03-2023,0,0,0,1,0.519114562,Medium,51.91145622,0
71,CA-2016-106075,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,4.616,0.2,1.731,No,N/A,No,N/A,0,19-01-2023,0,0,0,0,0.297604718,Low,29.76047183,20
72,CA-2017-114440,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,6.35,0,8.763,No,N/A,No,N/A,0,28-12-2023,0,0,0,0,0.45665658,Medium,45.66565797,0
73,US-2015-134026,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,103.992,0.2,-114.3912,Yes,Damaged product,Pending,Refund Only,831.936,17-10-2023,21-10-2023,4,1,0,0.404871867,Medium,40.48718674,20
74,US-2015-134026,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,48.52,0.2,1.213,No,N/A,No,N/A,0,21-09-2023,0,0,0,0,0.470534731,Medium,47.05347307,20
75,US-2015-134026,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,72.784,0.2,-18.196,No,N/A,No,N/A,0,14-10-2023,0,0,0,0,0.327298962,Low,32.72989624,20
76,US-2017-118038,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.416,0.8,-1.9344,No,N/A,No,N/A,0,02-04-2023,0,0,0,0,0.355431248,Low,35.54312482,80
77,US-2017-118038,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,3.236,0.6,-5.8248,No,N/A,No,N/A,0,16-01-2023,0,0,0,0,0.402085542,Medium,40.20855415,60
78,US-2017-118038,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,9.08,0.2,2.724,Yes,Changed mind,Rejected,Refund Only,27.24,10-06-2023,15-06-2023,5,1,0,0.388966395,Low,38.89663947,20
79,US-2014-147606,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,3.86,0.6,-14.475,No,N/A,No,N/A,0,08-06-2023,0,0,0,0,0.404605243,Medium,40.46052434,60
80,CA-2016-127208,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,208.16,0,56.2032,No,N/A,No,N/A,0,04-04-2023,0,0,0,0,0.170865041,Low,17.08650406,0
81,CA-2016-127208,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,5.58,0,8.0352,No,N/A,No,N/A,0,04-03-2023,0,0,0,0,0.352443037,Low,35.2443037,0
